deployment,year,Lure
ABMI-1225-NE,2017,y
ABMI-1225-NW,2017,n
ABMI-1225-SE,2017,n
ABMI-1225-SW,2017,y
ABMI-1226-NE,2017,y
ABMI-1226-NW,2017,n
ABMI-1226-SE,2017,n
ABMI-1226-SW,2017,y
ABMI-1228-NE,2018,y
ABMI-1228-NW,2018,n
ABMI-1228-SE,2018,n
ABMI-1228-SW,2018,y
ABMI-1229-NE,2018,n
ABMI-1229-NW,2018,n
ABMI-1229-SE,2018,n
ABMI-1229-SW,2018,y
ABMI-122-NE,2016,y
ABMI-122-NW,2016,n
ABMI-122-SE,2016,n
ABMI-122-SW,2016,y
ABMI-1230-NE,2018,y
ABMI-1230-NW,2018,n
ABMI-1230-SE,2018,y
ABMI-1230-SW,2018,y
ABMI-1240-NE,2017,y
ABMI-1240-NW,2017,n
ABMI-1240-SE,2017,n
ABMI-1240-SW,2017,y
ABMI-1241-NE,2017,y
ABMI-1241-NW,2017,n
ABMI-1241-SE,2017,n
ABMI-1241-SW,2017,y
ABMI-1242-NE,2017,y
ABMI-1242-NW,2017,n
ABMI-1242-SE,2017,n
ABMI-1242-SE-b,2017,n
ABMI-1242-SW,2017,y
ABMI-1243-NE,2018,y
ABMI-1243-NW,2018,n
ABMI-1243-SE,2018,n
ABMI-1243-SW,2018,y
ABMI-1244-NE,2018,y
ABMI-1244-NW,2018,n
ABMI-1244-SE,2018,n
ABMI-1244-SW,2018,y
ABMI-1245-NE,2018,y
ABMI-1245-NW,2018,n
ABMI-1245-SE,2018,n
ABMI-1245-SW,2018,y
ABMI-1252-NE,2015,y
ABMI-1252-NW,2015,n
ABMI-1252-SE,2015,n
ABMI-1252-SW,2015,y
ABMI-1253-NE,2015,y
ABMI-1253-NW,2015,n
ABMI-1253-SE,2015,n
ABMI-1253-SW,2015,y
ABMI-1254-NE,2015,y
ABMI-1254-NW,2015,n
ABMI-1254-SW,2015,y
ABMI-1255-NE,2017,y
ABMI-1255-NW,2017,n
ABMI-1255-SE,2017,n
ABMI-1255-SW,2017,y
ABMI-1256-NE,2017,y
ABMI-1256-NW,2017,n
ABMI-1256-SE,2017,n
ABMI-1256-SW,2017,y
ABMI-1263-NE,2017,y
ABMI-1263-NW,2017,n
ABMI-1263-SE,2017,n
ABMI-1263-SW,2017,y
ABMI-1264-NE,2017,y
ABMI-1264-NW,2017,n
ABMI-1264-SE,2017,n
ABMI-1264-SW,2017,y
ABMI-1265-NE,2017,y
ABMI-1265-NW,2017,n
ABMI-1265-SE,2017,n
ABMI-1265-SW,2017,y
ABMI-1266-NE,2018,y
ABMI-1266-NW,2018,n
ABMI-1266-SE,2018,n
ABMI-1266-SW,2018,y
ABMI-1267-NE,2018,y
ABMI-1267-NW,2018,n
ABMI-1267-SE,2018,n
ABMI-1267-SW,2018,y
ABMI-1268-NE,2018,y
ABMI-1268-NW,2018,n
ABMI-1268-SE,2018,n
ABMI-1268-SW,2018,y
ABMI-1275-NE,2015,y
ABMI-1275-NW,2015,n
ABMI-1275-SE,2015,n
ABMI-1275-SW,2015,y
ABMI-1276-NE,2015,y
ABMI-1276-NW,2015,n
ABMI-1276-NW-b,2015,n
ABMI-1276-SE,2015,y
ABMI-1276-SW,2015,n
ABMI-1277-NE,2015,n
ABMI-1277-NW,2015,n
ABMI-1277-SE,2015,y
ABMI-1277-SW,2015,y
ABMI-1278-NE,2017,y
ABMI-1278-NW,2017,n
ABMI-1278-SE,2017,n
ABMI-1278-SW,2017,y
ABMI-1279-NE,2017,y
ABMI-1279-NW,2017,n
ABMI-1279-SE,2017,n
ABMI-1279-SW,2017,y
ABMI-1280-NE,2017,y
ABMI-1280-NW,2017,n
ABMI-1280-SE,2017,n
ABMI-1280-SW,2017,y
ABMI-1281-NE,2018,y
ABMI-1281-SW,2018,n
ABMI-1282-NE,2018,y
ABMI-1282-SW,2018,n
ABMI-1283-NE,2018,y
ABMI-1283-SW,2018,n
ABMI-1284-NE,2016,y
ABMI-1284-NW,2016,n
ABMI-1284-SE,2016,n
ABMI-1284-SW,2016,y
ABMI-1285-NE,2016,y
ABMI-1285-NW,2016,n
ABMI-1285-SE,2016,n
ABMI-1285-SW,2016,y
ABMI-1291-NE,2017,NA
ABMI-1291-NW,2017,n
ABMI-1291-SE,2017,NA
ABMI-1291-SW,2017,NA
ABMI-1292-NE,2017,y
ABMI-1292-NW,2017,n
ABMI-1292-SE,2017,n
ABMI-1292-SW,2017,y
ABMI-1293-NE,2017,y
ABMI-1293-NW,2017,n
ABMI-1293-SE,2017,n
ABMI-1293-SW,2017,y
ABMI-1294-NE,2018,y
ABMI-1294-NW,2018,n
ABMI-1294-SE,2018,n
ABMI-1294-SW,2018,y
ABMI-1295-NE,2018,y
ABMI-1295-NW,2018,n
ABMI-1295-SE,2018,n
ABMI-1295-SW,2018,y
ABMI-1296-NE,2018,y
ABMI-1296-NW,2018,n
ABMI-1296-SE,2018,n
ABMI-1296-SW,2018,y
ABMI-1303-NE,2015,n
ABMI-1303-NW,2015,n
ABMI-1303-SE,2015,n
ABMI-1303-SW,2015,n
ABMI-1304-NE,2015,y
ABMI-1304-NW,2015,n
ABMI-1304-SE,2015,n
ABMI-1304-SW,2015,y
ABMI-1305-NE,2015,y
ABMI-1305-NE-b,2015,y
ABMI-1305-NW,2015,y
ABMI-1305-SE,2015,n
ABMI-1305-SW,2015,n
ABMI-1306-NE,2017,n
ABMI-1306-NW,2017,n
ABMI-1306-SE,2017,y
ABMI-1306-SW,2017,y
ABMI-1307-NE,2017,y
ABMI-1307-NW,2017,n
ABMI-1307-SE,2017,n
ABMI-1307-SW,2017,y
ABMI-1308-NE,2017,y
ABMI-1308-NW,2017,n
ABMI-1308-SE,2017,n
ABMI-1308-SW,2017,y
ABMI-1309-NE,2018,y
ABMI-1309-SW,2018,n
ABMI-1310-NE,2018,y
ABMI-1310-SW,2018,n
ABMI-1311-NE,2018,y
ABMI-1311-SW,2018,n
ABMI-1312-NE,2016,y
ABMI-1312-NW,2016,n
ABMI-1312-SE,2016,n
ABMI-1312-SW,2016,y
ABMI-1313-NE,2016,y
ABMI-1313-NW,2016,n
ABMI-1313-SE,2016,y
ABMI-1313-SW,2016,n
ABMI-1314-NE,2016,y
ABMI-1314-NW,2016,n
ABMI-1314-SE,2016,n
ABMI-1314-SW,2016,y
ABMI-1320-NE,2018,y
ABMI-1320-NW,2018,n
ABMI-1320-SE,2018,n
ABMI-1320-SW,2018,NA
ABMI-1321-NE,2017,y
ABMI-1321-NW,2017,n
ABMI-1321-SE,2017,n
ABMI-1321-SW,2017,y
ABMI-1322-NE,2017,y
ABMI-1322-NW,2017,n
ABMI-1322-SE,2017,n
ABMI-1322-SW,2017,y
ABMI-1323-NE,2018,y
ABMI-1323-NW,2018,n
ABMI-1323-SE,2018,n
ABMI-1323-SW,2018,y
ABMI-1324-NE,2018,y
ABMI-1324-NW,2018,n
ABMI-1324-SE,2018,n
ABMI-1324-SW,2018,y
ABMI-1325-NE,2018,y
ABMI-1325-NW,2018,n
ABMI-1325-SE,2018,n
ABMI-1325-SW,2018,y
ABMI-1332-NE,2015,y
ABMI-1332-NW,2015,n
ABMI-1332-SE,2015,n
ABMI-1332-SW,2015,y
ABMI-1333-NE,2015,n
ABMI-1333-NW,2015,n
ABMI-1333-SE,2015,y
ABMI-1333-SW,2015,y
ABMI-1334-NE,2015,y
ABMI-1334-NW,2015,n
ABMI-1334-SE,2015,n
ABMI-1334-SW,2015,y
ABMI-1335-NE,2017,y
ABMI-1335-NW,2017,n
ABMI-1335-SE,2017,y
ABMI-1335-SW,2017,y
ABMI-1336-NE,2017,y
ABMI-1336-NW,2017,n
ABMI-1336-SE,2017,n
ABMI-1336-SW,2017,y
ABMI-1337-NE,2017,y
ABMI-1337-NW,2017,n
ABMI-1337-SE,2017,n
ABMI-1337-SW,2017,y
ABMI-1338-NE,2018,y
ABMI-1338-SW,2018,n
ABMI-1339-NE,2018,y
ABMI-1339-SW,2018,n
ABMI-1340-NE,2018,y
ABMI-1340-SW,2018,n
ABMI-1341-NE,2016,y
ABMI-1341-NW,2016,n
ABMI-1341-SE,2016,n
ABMI-1341-SW,2016,y
ABMI-1342-NE,2016,n
ABMI-1342-NW,2016,n
ABMI-1342-SE,2016,y
ABMI-1342-SW,2016,y
ABMI-1343-NE,2016,y
ABMI-1343-NW,2016,n
ABMI-1343-SE,2016,n
ABMI-1343-SW,2016,y
ABMI-1346-NE,2018,y
ABMI-1346-NW,2018,n
ABMI-1346-SE,2018,n
ABMI-1346-SW,2018,y
ABMI-1356-NE,2017,y
ABMI-1356-NW,2017,n
ABMI-1356-SE,2017,n
ABMI-1356-SW,2017,y
ABMI-1357-NE,2017,y
ABMI-1357-NW,2017,n
ABMI-1357-SE,2017,n
ABMI-1357-SW,2017,y
ABMI-1358-NE,2017,y
